District,Tehsil,Farmers,SlaughterHouses,ButcherShops,Middlemen,X,Y
Peshawar,Peshawar,73,4,88,3,71.53538095,34.0045611
Abbotabad,Abbottabad,46,1,59,3,73.28461319,34.15083566
Abbotabad,Havelian,16,1,24,0,73.22118848,33.96660707
Kohistan,Dassu,27,0,3,0,73.45812928,35.2783655
Kohistan,Kandia,0,0,0,0,73.0062216,35.62169154
Kohistan,Palas,31,0,0,1,73.14258255,35.03663095
Kohistan,Pattan,25,0,3,2,72.86527831,35.26168745
D.I.Khan,Daraban,6,0,7,0,70.42633738,31.69840636
D.I.Khan,D.I.Khan,37,1,35,3,70.81433044,31.90531087
D.I.Khan,Kulachi,5,1,5,0,70.45024975,32.0187115
D.I.Khan,Paharpur,20,0,21,0,70.9841284,32.20184693
D.I.Khan,Paroa,14,0,15,0,70.66624953,31.50358355
